frequency,Re(Z)/Ohm,#NAME?
1.00E+06,3215.73853,-9487.71582
9.36E+05,3600.63232,-9877.99023
8.77E+05,4035.54639,-10310.5752
8.21E+05,4454.81836,-10764.23438
7.68E+05,4971.39551,-11425.14258
7.19E+05,5438.23438,-11784.29492
6.74E+05,5835.08984,-12170.91992
6.31E+05,6432.22559,-12745.44922
5.90E+05,7195.4873,-13222.4082
5.53E+05,7643.48584,-13544.40039
5.17E+05,8342.02539,-14006.37695
4.85E+05,9104.98535,-14538.85352
4.54E+05,9701.69922,-14995.16699
4.25E+05,10407.6377,-15583.01172
3.98E+05,11182.48047,-15896.64453
3.72E+05,11855.14063,-16221.50879
3.49E+05,12703.31152,-16586.0625
3.26E+05,13393.70313,-17102.63281
3.06E+05,14228.11035,-17401.36719
2.86E+05,15265.94629,-17887.43945
2.68E+05,16146.94043,-18438.97461
2.51E+05,17138.88086,-18754.5332
2.35E+05,17768.55078,-18875.22461
2.20E+05,18662.75977,-19167.4707
2.06E+05,19600.6543,-19492.93555
1.93E+05,20560.14063,-19839.23047
1.80E+05,21497.08789,-20111.90625
1.69E+05,22632.19531,-20713.76758
1.58E+05,23450.95898,-21130.17578
1.48E+05,24550.20117,-21352.51367
1.39E+05,25288.72266,-21374.81445
1.30E+05,26225.39258,-21683.80078
1.21E+05,27512.38867,-21904.08984
1.14E+05,28436.27734,-22403.55859
1.06E+05,29784.76953,-22869.5957
9.97E+04,30884.76758,-23059.26758
9.33E+04,31986.63281,-23560.41016
8.74E+04,33124.67969,-23548.49609
8.18E+04,33965.91016,-23810.23828
7.66E+04,34990.41797,-23999.39063
7.17E+04,36210.65625,-24289.8418
6.71E+04,37822.61719,-24604.57813
6.29E+04,39199.16406,-24713.27734
5.89E+04,40659.17188,-25156.49023
5.51E+04,41548.83203,-25438.85547
5.16E+04,42665.01563,-25796.57422
4.83E+04,43897.63672,-25643.73242
4.52E+04,45206.76172,-25573.07031
4.23E+04,46796.97266,-25633.57813
3.96E+04,48141.04297,-25694.14453
3.71E+04,49827.03906,-25695.28906
3.47E+04,51562.33203,-25604.88086
3.25E+04,53337.03516,-25292.27148
3.05E+04,54949.125,-25141.65625
2.85E+04,56346.30078,-24737.48828
2.67E+04,57358.05469,-24239.64844
2.50E+04,58587.24609,-23691.63477
2.34E+04,59854.19141,-22775.8457
2.19E+04,61122.37109,-22182.38086
2.05E+04,62884.45703,-21765.44141
1.92E+04,64176.60156,-21019.75586
1.80E+04,65386.93359,-20298.14258
1.68E+04,66499.85938,-19501.29492
1.58E+04,67320.21094,-18774.86133
1.48E+04,67868.21094,-18082.19922
1.38E+04,68599.77344,-16971.70117
1.29E+04,69586.85156,-15886.1875
1.21E+04,70091.16406,-15229.18066
1.13E+04,70601.5,-14461.90332
1.06E+04,71488.3125,-13672.08398
9.94E+03,71440.23438,-12874.90332
9.31E+03,71344.22656,-12445.95898
8.71E+03,72197.45313,-11235.61523
8.15E+03,72981.57813,-10932.39746
7.63E+03,72897.17969,-10281.49219
7.15E+03,72636.875,-9762.74707
6.69E+03,73084.11719,-8548.31934
6.27E+03,73081.19531,-8028.59961
5.87E+03,73606.86719,-7680.31348
5.50E+03,73679.64844,-6870.86084
5.14E+03,73435.92969,-6291.2666
4.82E+03,73441.53906,-6103.68359
4.51E+03,73283.82031,-5924.68457
4.22E+03,73500.69531,-4978.68408
3.95E+03,73805.71875,-4739.16455
3.70E+03,73780.92969,-4054.36084
3.46E+03,73193.61719,-3873.74634
3.24E+03,72911.85938,-3830.54395
3.04E+03,73359.4375,-3304.13354
2.84E+03,73394.28906,-3048.56396
2.66E+03,73371.86719,-2585.12866
2.49E+03,72971.64844,-2397.81885
2.33E+03,72966.53125,-2254.81519
2.18E+03,72355.90625,-1840.06836
2.05E+03,73024.42969,-1535.12354
1.91E+03,72675.46094,-1200.14661
1.79E+03,72755.30469,-992.48755
1.68E+03,72113.53125,-665.37964
1.57E+03,71775.46094,-659.71454
1.47E+03,71617.89063,-564.20099
1.38E+03,71917.90625,-108.77396
1.29E+03,71821.61719,-626.63672
1.21E+03,71385.57031,23.32454
1.13E+03,71124.32813,-108.21101
1.06E+03,70839.78906,180.57788
9.91E+02,71134.625,466.60852
9.28E+02,70823.33594,639.12531
8.69E+02,70430.30469,828.2265
8.13E+02,69982.98438,792.70325
7.61E+02,69494.92969,777.52747
7.13E+02,69606.07031,977.20105
6.67E+02,69813.4375,1087.31201
6.25E+02,69386.875,1037.75732
5.85E+02,68747.70313,1319.04456
5.48E+02,68484.30469,1213.45715
5.13E+02,68214.1875,1266.77356
4.80E+02,67817.76563,1110.32642
4.50E+02,68106.10156,1129.48682
4.21E+02,67746.19531,1099.61414
3.94E+02,66791.57813,959.88141
3.69E+02,66689.71094,971.0188
3.45E+02,66477.25781,771.77148
3.23E+02,66729.29688,750.79474
3.03E+02,66205.64844,646.78662
2.83E+02,65983.24219,539.97455
2.65E+02,65215.61328,-197.08919
2.48E+02,65112.60938,-355.23438
2.33E+02,65163.42578,-585.55048
2.18E+02,65252.83203,-656.09424
2.04E+02,64975.26563,-1111.47729
1.91E+02,64365.07031,-1537.6665
1.79E+02,64129.21484,-1700.66272
