frequency,Re(Z),Img(Z)
926000.0,4550.0,-12500.0
858000.0,5180.0,-13100.0
794000.0,5640.0,-13800.0
736000.0,6360.0,-14500.0
681000.0,7080.0,-15200.0
631000.0,7900.0,-15800.0
584000.0,8660.0,-16500.0
541000.0,9570.0,-17300.0
501000.0,10500.0,-17800.0
464000.0,11600.0,-18400.0
430000.0,12600.0,-19000.0
398000.0,13600.0,-19400.0
369000.0,14700.0,-20000.0
341000.0,15700.0,-20600.0
316000.0,16900.0,-20900.0
293000.0,18000.0,-21400.0
271000.0,19100.0,-21800.0
251000.0,20400.0,-22100.0
233000.0,21500.0,-22500.0
215000.0,22600.0,-22600.0
200000.0,23700.0,-23000.0
185000.0,24900.0,-23300.0
171000.0,26100.0,-23700.0
158000.0,27300.0,-23800.0
147000.0,28400.0,-24200.0
136000.0,29500.0,-24500.0
126000.0,30700.0,-24800.0
117000.0,31700.0,-25100.0
108000.0,32800.0,-25400.0
100000.0,34000.0,-25700.0
92600.0,35100.0,-26000.0
85800.0,36100.0,-26500.0
79400.0,37600.0,-26900.0
73600.0,38600.0,-27000.0
68100.0,39800.0,-27700.0
63100.0,40900.0,-28200.0
58400.0,41500.0,-28800.0
54100.0,42900.0,-29200.0
50100.0,44100.0,-30000.0
46400.0,45400.0,-30500.0
43000.0,46700.0,-31100.0
39800.0,48100.0,-31700.0
36900.0,49600.0,-32600.0
34100.0,50800.0,-33100.0
31600.0,52500.0,-33800.0
29300.0,54100.0,-34600.0
27100.0,55500.0,-35400.0
25100.0,57500.0,-36300.0
23300.0,59100.0,-37200.0
21500.0,61100.0,-38100.0
19900.0,62900.0,-38900.0
18500.0,64800.0,-39700.0
17100.0,67400.0,-40400.0
15800.0,69600.0,-41400.0
14700.0,72000.0,-42200.0
13600.0,74000.0,-42700.0
12600.0,76700.0,-43400.0
11700.0,79500.0,-44000.0
10800.0,82600.0,-44100.0
10000.0,85400.0,-44500.0
9260.0,88000.0,-44400.0
8570.0,91200.0,-44500.0
7940.0,94700.0,-44500.0
7350.0,97300.0,-44200.0
6810.0,100000.0,-43900.0
6310.0,103000.0,-43000.0
5840.0,104000.0,-42400.0
5410.0,109000.0,-41300.0
5010.0,111000.0,-40300.0
4640.0,114000.0,-39200.0
4300.0,117000.0,-38000.0
3980.0,119000.0,-36700.0
3690.0,121000.0,-35600.0
3420.0,123000.0,-34100.0
3160.0,125000.0,-32600.0
2930.0,127000.0,-31000.0
2710.0,129000.0,-29800.0
2510.0,130000.0,-28100.0
2330.0,132000.0,-26800.0
2150.0,133000.0,-25300.0
2000.0,134000.0,-23900.0
1850.0,135000.0,-22500.0
1710.0,137000.0,-21100.0
1580.0,138000.0,-19700.0
1470.0,138000.0,-18500.0
1360.0,139000.0,-17400.0
1260.0,140000.0,-15900.0
1170.0,140000.0,-14900.0
1080.0,141000.0,-13700.0
1000.0,141000.0,-12900.0
926.0,142000.0,-11900.0
858.0,143000.0,-10700.0
794.0,143000.0,-9670.0
736.0,144000.0,-8590.0
681.0,144000.0,-8060.0
631.0,144000.0,-7350.0
584.0,144000.0,-6130.0
541.0,145000.0,-5520.0
501.0,145000.0,-4920.0
464.0,145000.0,-4150.0
430.0,145000.0,-3770.0
398.0,145000.0,-3330.0
369.0,145000.0,-2450.0
341.0,145000.0,-1990.0
316.0,145000.0,-1750.0
293.0,145000.0,-1390.0
271.0,145000.0,-882.0
251.0,145000.0,-532.0
233.0,145000.0,-230.0
215.0,145000.0,166.0
200.0,144000.0,393.0
185.0,144000.0,328.0
171.0,144000.0,457.0
159.0,144000.0,428.0
147.0,144000.0,466.0
136.0,143000.0,384.0
126.0,143000.0,-6.94
117.0,143000.0,339.0
108.0,143000.0,-236.0
100.0,143000.0,-593.0
92.6,143000.0,-737.0
85.8,143000.0,-1140.0
79.4,142000.0,-1370.0
73.6,143000.0,-1830.0
68.1,143000.0,-2240.0
63.1,142000.0,-2950.0
58.4,143000.0,-3610.0
54.1,142000.0,-4020.0
50.1,142000.0,-5880.0
46.4,143000.0,-5320.0
43.0,142000.0,-6400.0
39.8,143000.0,-6830.0
36.9,143000.0,-8210.0
34.1,143000.0,-8730.0
31.6,143000.0,-9720.0
29.3,144000.0,-11000.0
27.1,144000.0,-12100.0
25.1,144000.0,-13100.0
23.3,145000.0,-14300.0
21.6,145000.0,-15900.0
20.0,146000.0,-17200.0
18.5,146000.0,-18700.0
17.1,147000.0,-20400.0
15.8,147000.0,-21900.0
14.7,148000.0,-23500.0
13.6,150000.0,-25300.0
12.6,151000.0,-27300.0
11.7,153000.0,-29000.0
10.8,154000.0,-31200.0
10.0,155000.0,-32900.0
9.26,157000.0,-34900.0
8.58,159000.0,-37100.0
7.94,161000.0,-38800.0
7.36,163000.0,-41200.0
6.81,165000.0,-43100.0
6.31,168000.0,-45300.0
5.84,170000.0,-47000.0
5.41,173000.0,-48500.0
5.01,176000.0,-50600.0
4.64,179000.0,-52500.0
4.3,182000.0,-53600.0
3.98,186000.0,-56400.0
3.69,188000.0,-57500.0
3.41,192000.0,-58800.0
3.16,196000.0,-60200.0
2.93,200000.0,-62600.0
2.71,203000.0,-63700.0
2.51,207000.0,-64500.0
2.33,211000.0,-64700.0
2.15,216000.0,-66400.0
2.0,220000.0,-68500.0
1.85,223000.0,-69800.0
1.71,226000.0,-70500.0
1.58,231000.0,-70500.0
1.47,235000.0,-69900.0
1.36,241000.0,-71200.0
1.26,247000.0,-72900.0
1.17,250000.0,-75100.0
1.08,252000.0,-75000.0
1.0,256000.0,-75300.0
