frequency,Re(Z),Img(Z)
1.00E+06,4107.46533,-9141.50684
9.36E+05,4519.53809,-9560.23535
8.77E+05,4978.2793,-9781.07324
8.21E+05,5419.58936,-10178.36328
7.68E+05,5975.04004,-10394.7998
7.19E+05,6413.45654,-10763.98926
6.74E+05,7029.86475,-10973.36621
6.31E+05,7513.65039,-11546.28125
5.90E+05,8211.58301,-11757.85059
5.53E+05,8811.4043,-12010.69434
5.17E+05,9339.53125,-12278.13574
4.85E+05,9760.00293,-12611.1875
4.54E+05,10449.37012,-12715.08301
4.25E+05,10958.66406,-13087.33398
3.98E+05,11688.53711,-13322.20117
3.72E+05,12272.55566,-13744.25391
3.49E+05,12893.19727,-13991.9834
3.26E+05,13645.11621,-14287.75293
3.06E+05,14183.12695,-14542.30176
2.86E+05,14801.16797,-14759.3291
2.68E+05,15429.25195,-14942.95215
2.51E+05,16231.68652,-15415.74414
2.35E+05,16945.1582,-15662.83789
2.20E+05,17760.11523,-16060.31641
2.06E+05,18446.6582,-16378.73926
1.93E+05,19252.76367,-16632.84766
1.80E+05,19919.36133,-16751.15625
1.69E+05,20727.04297,-17086.84766
1.58E+05,21642.42969,-17361.99023
1.48E+05,22560.92578,-17801.69336
1.39E+05,23542.16016,-18039.54102
1.30E+05,24452.44531,-18259.00391
1.21E+05,25509.32422,-18419.73633
1.14E+05,26353.93164,-18779.57617
1.06E+05,27121.09375,-18745.58203
9.97E+04,28182.89844,-19020.47461
9.33E+04,29261.39844,-19158.98828
8.74E+04,30555.85352,-19392.76758
8.18E+04,31625.38672,-19583.71875
7.66E+04,32814.66406,-19752.16992
7.17E+04,34025,-19710.27148
6.71E+04,34907.22656,-19527.44727
6.29E+04,36027.5625,-19399.18164
5.89E+04,37063.57813,-19410.07813
5.51E+04,38091.17578,-19213.16406
5.16E+04,39479.30859,-19039.28516
4.83E+04,40632.14844,-18923.50977
4.52E+04,42092.25781,-18681.23438
4.23E+04,42722.10547,-18688.27344
3.96E+04,43625.17969,-18147.66992
3.71E+04,44507.60547,-17732.75391
3.47E+04,45162.80859,-16996.29492
3.25E+04,46336.15625,-16802.63477
3.05E+04,47474.85156,-15704.39648
2.85E+04,48641.20313,-15637.35742
2.67E+04,49321.86328,-14815.04492
2.50E+04,50146.98438,-14430.14746
2.34E+04,50169.32422,-13833.31543
2.19E+04,51327.89844,-13323.02637
2.05E+04,51601.38281,-12454.41016
1.92E+04,52029.02734,-11764.46973
1.80E+04,52678.94141,-11187.24219
1.68E+04,53438.46875,-10547.35938
1.58E+04,54216.17578,-9988.55762
1.48E+04,54347.64063,-9552.32813
1.38E+04,54754.00391,-8931.79297
1.29E+04,54439.60156,-8403.50781
1.21E+04,54602.78906,-7997.54004
1.13E+04,55149.31641,-7674.68848
1.06E+04,55439.35938,-6944.79785
9.94E+03,55718.83203,-6744.49365
9.31E+03,55790.69531,-6247.91211
8.71E+03,55490.72656,-5735.87256
8.15E+03,55714.91797,-5323.28809
7.63E+03,55961.41016,-5284.29492
7.15E+03,56206.91016,-4483.02979
6.69E+03,56260.05859,-4248.10791
6.27E+03,55825.1875,-3997.29688
5.87E+03,55854.69531,-4183.52686
5.50E+03,56360.95703,-3741.05127
5.14E+03,56578.91797,-3507.1665
4.82E+03,56385.52344,-3000.33813
4.51E+03,56426.08984,-3070.56958
4.22E+03,56012.02344,-2504.15137
3.95E+03,56045.85547,-2396.37939
3.70E+03,56430.79688,-2122.51709
