frequency,Real(Z),Imag(Z)
1.00E+6,2.40E+3,-1.01E+3
9.12E+5,2.43E+3,-1.07E+3
8.32E+5,2.47E+3,-1.12E+3
7.59E+5,2.50E+3,-1.19E+3
6.92E+5,2.53E+3,-1.26E+3
6.31E+5,2.56E+3,-1.34E+3
5.75E+5,2.59E+3,-1.42E+3
5.25E+5,2.63E+3,-1.51E+3
4.79E+5,2.66E+3,-1.61E+3
4.37E+5,2.70E+3,-1.71E+3
3.98E+5,2.73E+3,-1.83E+3
3.63E+5,2.77E+3,-1.96E+3
3.31E+5,2.80E+3,-2.10E+3
3.02E+5,2.84E+3,-2.26E+3
2.75E+5,2.88E+3,-2.43E+3
2.51E+5,2.91E+3,-2.62E+3
2.29E+5,2.95E+3,-2.82E+3
2.09E+5,3.00E+3,-3.04E+3
1.91E+5,3.05E+3,-3.30E+3
1.74E+5,3.10E+3,-3.57E+3
1.58E+5,3.15E+3,-3.87E+3
1.45E+5,3.47E+3,-4.34E+3
1.32E+5,3.56E+3,-4.70E+3
1.20E+5,3.66E+3,5.10E+3
1.10E+5,3.77E+3,5.53E+3
1.00E+5,3.89E+3,6.00E+3
9.12E+4,4.04E+3,6.52E+3
8.32E+4,4.20E+3,7.07E+3
7.59E+4,4.38E+3,7.69E+3
6.92E+4,4.61E+3,8.35E+3
6.31E+4,4.88E+3,9.06E+3
5.75E+4,5.17E+3,9.84E+3
5.25E+4,5.51E+3,1.07E+4
4.79E+4,5.91E+3,1.16E+4
4.37E+4,6.38E+3,1.25E+4
3.98E+4,6.92E+3,1.36E+4
3.63E+4,7.55E+3,1.47E+4
3.31E+4,8.29E+3,1.58E+4
3.02E+4,9.12E+3,1.70E+4
2.75E+4,1.01E+4,1.83E+4
2.51E+4,1.12E+4,1.95E+4
2.29E+4,1.25E+4,2.09E+4
2.09E+4,1.39E+4,2.22E+4
1.91E+4,1.55E+4,2.34E+4
1.74E+4,1.73E+4,2.46E+4
1.58E+4,1.92E+4,2.59E+4
1.45E+4,2.14E+4,2.70E+4
1.32E+4,2.38E+4,2.78E+4
1.20E+4,2.62E+4,2.85E+4
1.10E+4,2.87E+4,2.91E+4
1.00E+4,3.35E+4,2.99E+4
9.12E+3,3.61E+4,2.98E+4
8.32E+3,3.89E+4,2.94E+4
7.59E+3,4.16E+4,2.89E+4
6.92E+3,4.41E+4,2.81E+4
6.31E+3,4.65E+4,2.71E+4
5.75E+3,4.86E+4,2.61E+4
5.25E+3,5.07E+4,2.48E+4
4.79E+3,5.26E+4,2.35E+4
4.37E+3,5.42E+4,2.21E+4
3.98E+3,5.57E+4,2.07E+4
3.63E+3,5.70E+4,1.94E+4
3.31E+3,5.82E+4,1.80E+4
3.02E+3,5.91E+4,1.66E+4
2.75E+3,5.99E+4,1.53E+4
2.51E+3,6.07E+4,1.41E+4
2.29E+3,6.12E+4,1.29E+4
2.09E+3,6.17E+4,1.18E+4
1.91E+3,6.22E+4,1.08E+4
1.74E+3,6.26E+4,9.89E+3
1.58E+3,6.28E+4,8.97E+3
1.45E+3,6.31E+4,8.12E+3
1.32E+3,6.33E+4,7.36E+3
1.20E+3,6.35E+4,6.62E+3
1.10E+3,6.36E+4,5.99E+3
1.00E+3,6.37E+4,5.45E+3
9.12E+2,6.38E+4,4.88E+3
8.32E+2,6.39E+4,4.40E+3
7.59E+2,6.40E+4,3.94E+3
6.92E+2,6.40E+4,3.53E+3
6.31E+2,6.41E+4,3.17E+3
5.75E+2,6.41E+4,2.81E+3
5.25E+2,6.41E+4,2.51E+3
4.79E+2,6.40E+4,2.22E+3
4.37E+2,6.41E+4,1.97E+3
3.98E+2,6.40E+4,1.77E+3
3.63E+2,6.40E+4,1.56E+3
3.31E+2,6.40E+4,1.39E+3
3.02E+2,6.40E+4,1.25E+3
2.75E+2,6.40E+4,1.13E+3
2.51E+2,6.39E+4,1.00E+3
2.29E+2,6.39E+4,9.08E+2
2.09E+2,6.39E+4,8.26E+2
1.91E+2,6.39E+4,7.83E+2
1.74E+2,6.39E+4,7.23E+2
1.58E+2,6.40E+4,6.45E+2
1.45E+2,6.39E+4,6.85E+2
1.32E+2,6.39E+4,6.50E+2
1.20E+2,6.39E+4,6.81E+2
1.10E+2,6.39E+4,6.74E+2
1.00E+2,6.39E+4,6.31E+2
9.12E+1,6.40E+4,7.97E+2
8.32E+1,6.40E+4,8.06E+2
7.59E+1,6.40E+4,8.61E+2
6.92E+1,6.39E+4,9.74E+2
