frequency,Re(Z)/Ohm,#NAME?
1000000.0,4107.46533,-9141.50684
936000.0,4519.53809,-9560.23535
877000.0,4978.2793,-9781.07324
821000.0,5419.58936,-10178.36328
768000.0,5975.04004,-10394.7998
719000.0,6413.45654,-10763.98926
674000.0,7029.86475,-10973.36621
631000.0,7513.65039,-11546.28125
590000.0,8211.58301,-11757.85059
553000.0,8811.4043,-12010.69434
517000.0,9339.53125,-12278.13574
485000.0,9760.00293,-12611.1875
454000.0,10449.37012,-12715.08301
425000.0,10958.66406,-13087.33398
398000.0,11688.53711,-13322.20117
372000.0,12272.55566,-13744.25391
349000.0,12893.19727,-13991.9834
326000.0,13645.11621,-14287.75293
306000.0,14183.12695,-14542.30176
286000.0,14801.16797,-14759.3291
268000.0,15429.25195,-14942.95215
251000.0,16231.68652,-15415.74414
235000.0,16945.1582,-15662.83789
220000.0,17760.11523,-16060.31641
206000.0,18446.6582,-16378.73926
193000.0,19252.76367,-16632.84766
180000.0,19919.36133,-16751.15625
169000.0,20727.04297,-17086.84766
158000.0,21642.42969,-17361.99023
148000.0,22560.92578,-17801.69336
139000.0,23542.16016,-18039.54102
130000.0,24452.44531,-18259.00391
121000.0,25509.32422,-18419.73633
114000.0,26353.93164,-18779.57617
106000.0,27121.09375,-18745.58203
99700.0,28182.89844,-19020.47461
93300.0,29261.39844,-19158.98828
87400.0,30555.85352,-19392.76758
81800.0,31625.38672,-19583.71875
76600.0,32814.66406,-19752.16992
71700.0,34025.0,-19710.27148
67100.0,34907.22656,-19527.44727
62900.0,36027.5625,-19399.18164
58900.0,37063.57813,-19410.07813
55100.0,38091.17578,-19213.16406
51600.0,39479.30859,-19039.28516
48300.0,40632.14844,-18923.50977
45200.0,42092.25781,-18681.23438
42300.0,42722.10547,-18688.27344
39600.0,43625.17969,-18147.66992
37100.0,44507.60547,-17732.75391
34700.0,45162.80859,-16996.29492
32500.0,46336.15625,-16802.63477
30500.0,47474.85156,-15704.39648
28500.0,48641.20313,-15637.35742
26700.0,49321.86328,-14815.04492
25000.0,50146.98438,-14430.14746
23400.0,50169.32422,-13833.31543
21900.0,51327.89844,-13323.02637
20500.0,51601.38281,-12454.41016
19200.0,52029.02734,-11764.46973
18000.0,52678.94141,-11187.24219
16800.0,53438.46875,-10547.35938
15800.0,54216.17578,-9988.55762
14800.0,54347.64063,-9552.32813
13800.0,54754.00391,-8931.79297
12900.0,54439.60156,-8403.50781
12100.0,54602.78906,-7997.54004
11300.0,55149.31641,-7674.68848
10600.0,55439.35938,-6944.79785
9940.0,55718.83203,-6744.49365
9310.0,55790.69531,-6247.91211
8710.0,55490.72656,-5735.87256
8150.0,55714.91797,-5323.28809
7630.0,55961.41016,-5284.29492
7150.0,56206.91016,-4483.02979
6690.0,56260.05859,-4248.10791
6270.0,55825.1875,-3997.29688
5870.0,55854.69531,-4183.52686
5500.0,56360.95703,-3741.05127
5140.0,56578.91797,-3507.1665
4820.0,56385.52344,-3000.33813
4510.0,56426.08984,-3070.56958
4220.0,56012.02344,-2504.15137
3950.0,56045.85547,-2396.37939
3700.0,56430.79688,-2122.51709
3460.0,56418.72656,-1969.02075
3240.0,56272.27344,-1773.28259
3040.0,55995.1875,-1963.47095
2840.0,55844.31641,-1882.89807
