Re(Z),Img(Z)
4550.0,12500.0
5180.0,13100.0
5640.0,13800.0
6360.0,14500.0
7080.0,15200.0
7900.0,15800.0
8660.0,16500.0
9570.0,17300.0
10500.0,17800.0
11600.0,18400.0
12600.0,19000.0
13600.0,19400.0
14700.0,20000.0
15700.0,20600.0
16900.0,20900.0
18000.0,21400.0
19100.0,21800.0
20400.0,22100.0
21500.0,22500.0
22600.0,22600.0
23700.0,23000.0
24900.0,23300.0
26100.0,23700.0
27300.0,23800.0
28400.0,24200.0
29500.0,24500.0
30700.0,24800.0
31700.0,25100.0
32800.0,25400.0
34000.0,25700.0
35100.0,26000.0
36100.0,26500.0
37600.0,26900.0
38600.0,27000.0
39800.0,27700.0
40900.0,28200.0
41500.0,28800.0
42900.0,29200.0
44100.0,30000.0
45400.0,30500.0
46700.0,31100.0
48100.0,31700.0
49600.0,32600.0
50800.0,33100.0
52500.0,33800.0
54100.0,34600.0
55500.0,35400.0
57500.0,36300.0
59100.0,37200.0
61100.0,38100.0
62900.0,38900.0
64800.0,39700.0
67400.0,40400.0
69600.0,41400.0
72000.0,42200.0
74000.0,42700.0
76700.0,43400.0
79500.0,44000.0
82600.0,44100.0
85400.0,44500.0
88000.0,44400.0
91200.0,44500.0
94700.0,44500.0
97300.0,44200.0
100000.0,43900.0
103000.0,43000.0
104000.0,42400.0
109000.0,41300.0
111000.0,40300.0
114000.0,39200.0
117000.0,38000.0
119000.0,36700.0
121000.0,35600.0
123000.0,34100.0
125000.0,32600.0
127000.0,31000.0
129000.0,29800.0
130000.0,28100.0
132000.0,26800.0
133000.0,25300.0
134000.0,23900.0
135000.0,22500.0
137000.0,21100.0
138000.0,19700.0
138000.0,18500.0
139000.0,17400.0
140000.0,15900.0
140000.0,14900.0
141000.0,13700.0
141000.0,12900.0
142000.0,11900.0
143000.0,10700.0
143000.0,9670.0
144000.0,8590.0
144000.0,8060.0
144000.0,7350.0
144000.0,6130.0
145000.0,5520.0
145000.0,4920.0
145000.0,4150.0
145000.0,3770.0
145000.0,3330.0
145000.0,2450.0
145000.0,1990.0
145000.0,1750.0
145000.0,1390.0
145000.0,882.0
145000.0,532.0
145000.0,230.0
143000.0,6.94
143000.0,236.0
143000.0,593.0
143000.0,737.0
143000.0,1140.0
142000.0,1370.0
143000.0,1830.0
143000.0,2240.0
142000.0,2950.0
143000.0,3610.0
142000.0,4020.0
142000.0,5880.0
143000.0,5320.0
142000.0,6400.0
143000.0,6830.0
143000.0,8210.0
143000.0,8730.0
143000.0,9720.0
144000.0,11000.0
144000.0,12100.0
144000.0,13100.0
145000.0,14300.0
145000.0,15900.0
146000.0,17200.0
146000.0,18700.0
147000.0,20400.0
147000.0,21900.0
148000.0,23500.0
150000.0,25300.0
151000.0,27300.0
153000.0,29000.0
154000.0,31200.0
155000.0,32900.0
157000.0,34900.0
159000.0,37100.0
161000.0,38800.0
163000.0,41200.0
165000.0,43100.0
168000.0,45300.0
170000.0,47000.0
173000.0,48500.0
176000.0,50600.0
179000.0,52500.0
182000.0,53600.0
186000.0,56400.0
188000.0,57500.0
192000.0,58800.0
196000.0,60200.0
200000.0,62600.0
203000.0,63700.0
207000.0,64500.0
211000.0,64700.0
216000.0,66400.0
220000.0,68500.0
223000.0,69800.0
226000.0,70500.0
231000.0,70500.0
235000.0,69900.0
241000.0,71200.0
247000.0,72900.0
250000.0,75100.0
252000.0,75000.0
256000.0,75300.0
