Re(Z)_fit,Img(Z)_fit
36239.48574254938,1620.9885169429533
36271.75664158847,1726.0144610814168
36306.94212602028,1839.6620793809882
36343.880267557906,1958.0207807955574
36384.4773478302,2087.0056159025903
36427.285345441764,2221.798031558549
36473.96637953745,2367.3966166596747
36523.542918564264,2520.4801582954046
36577.069830153654,2684.022249571098
36634.57606842517,2857.767479553755
36695.936955583216,3040.992854781397
36763.068976273134,3238.970779205282
36833.79330658649,3444.8326729120395
36913.33932371382,3673.1675933211895
36996.157777780296,3907.424250347512
37084.75707591348,4154.2633865795815
37183.54441958389,4425.07919131362
37288.4021185585,4707.668652540223
37398.249004746765,4998.565717502105
37526.662292243804,5332.276799933424
37651.56481202865,5650.6085271558895
37797.07125853428,6014.066850523747
37956.39701668786,6403.4063342842755
38130.26086356251,6818.547095192411
38302.088192198215,7219.419801294997
38502.6160016503,7676.1222608945845
38716.393056731984,8150.594607644115
38941.266025392506,8636.744088082785
39205.21622920896,9191.54427393641
39481.542041480694,9755.280701307964
39781.69939098897,10349.23897113753
40105.46936665887,10969.978181348986
40463.503360453564,11634.079639479938
40844.64227415788,12317.199255779793
41269.31341347484,13051.621681696097
41723.14607289997,13807.785551995139
42224.471843497384,14611.394966054106
42763.515334829666,15441.377272182412
43352.3134636341,16310.9484140792
43991.756597904416,17215.196627870406
44680.767245687704,18146.731903241714
45441.153221420725,19127.621416652568
46248.13777303239,20119.13748875699
47161.16252079897,21184.827210514097
48115.76035981788,22240.829170564233
49139.28372514203,23312.645584532103
50280.679987434596,24440.411462411386
51489.541360335155,25563.786375335745
52750.00398026846,26663.710929219713
54212.23890664185,27855.864200835647
55720.35996779545,28998.656712479893
57236.651118981594,30065.684621532822
58975.880307434105,31195.919245680638
60832.2771391163,32299.783021022904
62621.20690008908,33270.186241669246
64648.61673163543,34266.28257304792
66736.33029098343,35183.69353732905
68849.37753544065,36006.483287360614
71221.424355059,36809.77638861235
73581.81653005647,37488.48002030829
76008.01248892881,38065.69167062307
78509.53119310696,38537.283135663456
81020.73718200068,38887.95583170704
83591.9521775287,39122.20543371699
86150.65146889816,39231.69583479188
88711.0407643827,39218.70175753259
91299.03519157751,39081.02901910372
93831.27992301373,38824.3637680242
96336.11564340137,38450.25236027266
98787.00104727299,37966.210103133344
101156.43124759865,37384.45724247541
103491.28023676068,36698.292308143275
105695.82932280684,35943.74418704313
107823.84207449153,35112.97471482892
109940.78448897164,34182.00651153387
111867.30542667172,33239.54798595687
113755.3850093456,32223.00290177123
115508.16281853252,31192.296578534617
117113.22602572292,30170.65619276309
118742.21294532118,29053.156506848165
120116.1998106624,28043.695808599972
121503.47268443319,26958.689766865373
122808.70976114972,25874.077540265163
124028.42834101536,24801.588326376594
125065.41110594617,23842.82382568378
126106.21237660553,22835.345676736062
127055.27485509694,21875.950488301485
127911.58569151259,20976.28553488217
128769.96962292114,20041.85055324973
129534.97374195952,19181.952544608623
130244.73752583514,18362.230110113214
130899.4033500822,17588.880345951948
131518.54200198955,16844.24569384934
132083.1172634542,16156.402747455973
132622.7245016586,15494.020436336552
133118.16047659924,14884.83563628497
133589.59669822358,14307.901013611418
134027.3817149162,13778.413884708638
134441.9350796705,13286.681350608687
134833.57211103514,12834.98183219471
135202.39982613138,12425.224199032235
135559.57003432306,12047.159645651847
135893.96171120674,11713.97863786453
136229.09344739173,11404.335628909474
136541.18679609854,11141.520675679296
136841.80605413648,10914.893104887768
137144.5222835865,10715.917718156412
137435.81777230627,10554.560768836582
137714.33029742388,10429.676623966398
140026.16724903928,10538.817266318272
140658.05625640275,10874.185475095663
140988.61190622335,11087.004635237197
141330.64915329672,11329.761681565104
141683.00869038716,11600.405243842186
142055.88427719474,11905.97915303173
142436.55279563693,12234.821878216393
142844.05629209228,12602.221375279318
143263.15064103267,12993.272527699184
143709.4389953696,13421.067686667142
144172.73883984436,13874.40852827356
144662.13390819065,14360.479676554005
145176.85018936326,14876.827193997244
145714.82310461916,15419.494910057225
146291.48030321678,16002.085801456733
146886.84622027076,16602.33756643189
147542.96736517965,17260.23602575018
148212.21358528564,17925.552783542684
148913.8022208549,18615.222636853483
149679.91099944702,19357.789982429513
150475.83980961586,20116.45654215546
151291.92125084536,20879.90395587354
152169.2110299651,21683.656769650763
153110.9228476995,22526.42145876428
154119.44826930482,23405.759195961655
155195.88462198596,24317.805148248175
156339.4230219206,25256.96873160761
157439.64084042434,26132.049051836082
158688.35298024717,27092.020707150452
159980.33194916815,28048.936809230876
161298.45346066507,28988.15227067377
162795.62983979267,30010.867188237033
164309.05540945433,30998.512094007223
165894.86626943262,31985.23286077948
167542.39247116295,32959.895645503544
169293.7215410663,33941.50210280208
171082.8299931704,34888.298541720695
172992.12196941022,35838.41145735732
174942.45501630718,36746.83012523903
176997.8955469141,37638.49443672528
179102.1785772838,38483.70065225355
181286.7617401849,39290.95567854171
183537.09446740974,40049.88089062845
185833.20645008195,40750.33022740685
188227.67504219816,41403.255815496945
190625.11016568338,41979.50108215844
193178.0079145374,42509.641073115
195685.6256765999,42948.08223896424
198211.2168586743,43308.504304832684
200851.13460632288,43599.27744380993
203467.59339482326,43801.61689833002
206022.13041476323,43917.27238611959
208790.2349956189,43951.59833207355
211279.89375221275,43901.67952828449
213955.44678205234,43762.53096289194
216639.0965716028,43533.484824108156
219310.02633618895,43215.75316410185
221718.45726578374,42851.5513841399
224276.17233530033,42382.903999419694
226742.77303683507,41849.66686518481
229088.01891434868,41267.124211363
231562.04847249994,40570.89658663287
233878.07256518316,39841.11309195472
