Temperature,index,value
10,Frequency,1000000.0
10,Frequency,926000.0
10,Frequency,858000.0
10,Frequency,794000.0
10,Frequency,736000.0
10,Frequency,681000.0
10,Frequency,631000.0
10,Frequency,584000.0
10,Frequency,541000.0
10,Frequency,501000.0
10,Frequency,464000.0
10,Frequency,430000.0
10,Frequency,398000.0
10,Frequency,369000.0
10,Frequency,341000.0
10,Frequency,316000.0
10,Frequency,293000.0
10,Frequency,271000.0
10,Frequency,251000.0
10,Frequency,233000.0
10,Frequency,215000.0
10,Frequency,200000.0
10,Frequency,185000.0
10,Frequency,171000.0
10,Frequency,158000.0
10,Frequency,147000.0
10,Frequency,136000.0
10,Frequency,126000.0
10,Frequency,117000.0
10,Frequency,108000.0
10,Frequency,100000.0
10,Frequency,92600.0
10,Frequency,85800.0
10,Frequency,79400.0
10,Frequency,73600.0
10,Frequency,68100.0
10,Frequency,63100.0
10,Frequency,58400.0
10,Frequency,54100.0
10,Frequency,50100.0
10,Frequency,46400.0
10,Frequency,43000.0
10,Frequency,39800.0
10,Frequency,36900.0
10,Frequency,34100.0
10,Frequency,31600.0
10,Frequency,29300.0
10,Frequency,27100.0
10,Frequency,25100.0
10,Frequency,23300.0
10,Frequency,21500.0
10,Frequency,19900.0
10,Frequency,18500.0
10,Frequency,17100.0
10,Frequency,15800.0
10,Frequency,14700.0
10,Frequency,13600.0
10,Frequency,12600.0
10,Frequency,11700.0
10,Frequency,10800.0
10,Frequency,10000.0
10,Frequency,9260.0
10,Frequency,8570.0
10,Frequency,7940.0
10,Frequency,7350.0
10,Frequency,6810.0
10,Frequency,6310.0
10,Frequency,5840.0
10,Frequency,5410.0
10,Frequency,5010.0
10,Frequency,4640.0
10,Frequency,4300.0
10,Frequency,3980.0
10,Frequency,3690.0
10,Frequency,3420.0
10,Frequency,3160.0
10,Frequency,2930.0
10,Frequency,2710.0
10,Frequency,2510.0
10,Frequency,2330.0
10,Frequency,2150.0
10,Frequency,2000.0
10,Frequency,1850.0
10,Frequency,1710.0
10,Frequency,1580.0
10,Frequency,1470.0
10,Frequency,1360.0
10,Frequency,1260.0
10,Frequency,1170.0
10,Frequency,1080.0
10,Frequency,1000.0
10,Frequency,926.0
10,Frequency,858.0
10,Frequency,794.0
10,Frequency,736.0
10,Frequency,681.0
10,Frequency,631.0
10,Frequency,584.0
10,Frequency,541.0
10,Frequency,501.0
10,Frequency,464.0
10,Frequency,430.0
10,Frequency,398.0
10,Frequency,369.0
10,Frequency,341.0
10,Frequency,316.0
10,Frequency,293.0
10,Frequency,271.0
10,Frequency,251.0
10,Frequency,233.0
10,Frequency,215.0
10,Frequency,200.0
10,Frequency,185.0
10,Frequency,171.0
10,Frequency,159.0
10,Frequency,147.0
10,Frequency,136.0
10,Frequency,126.0
10,Frequency,117.0
10,Frequency,108.0
10,Frequency,100.0
10,Frequency,92.6
10,Frequency,85.8
10,Frequency,79.4
10,Frequency,73.6
10,Frequency,68.1
10,Frequency,63.1
10,Frequency,58.4
10,Frequency,54.1
10,Frequency,50.1
10,Frequency,46.4
10,Frequency,43.0
10,Frequency,39.8
10,Frequency,36.9
10,Frequency,34.1
10,Frequency,31.6
10,Frequency,29.3
10,Frequency,27.1
10,Frequency,25.1
10,Frequency,23.3
10,Frequency,21.6
10,Frequency,20.0
10,Frequency,18.5
10,Frequency,17.1
10,Frequency,15.8
10,Frequency,14.7
10,Frequency,13.6
10,Frequency,12.6
10,Frequency,11.7
10,Frequency,10.8
10,Frequency,10.0
10,Frequency,9.26
10,Frequency,8.58
10,Frequency,7.94
10,Frequency,7.36
10,Frequency,6.81
10,Frequency,6.31
10,Frequency,5.84
10,Frequency,5.41
10,Frequency,5.01
10,Frequency,4.64
10,Frequency,4.3
10,Frequency,3.98
10,Frequency,3.69
10,Frequency,3.41
10,Frequency,3.16
10,Frequency,2.93
10,Frequency,2.71
10,Frequency,2.51
10,Frequency,2.33
10,Frequency,2.15
10,Frequency,2.0
10,Frequency,1.85
10,Frequency,1.71
10,Frequency,1.58
10,Frequency,1.47
10,Frequency,1.36
10,Frequency,1.26
10,Frequency,1.17
10,Frequency,1.08
10,Frequency,1.0
10,Re(Z),3590.0
10,Re(Z),3830.0
10,Re(Z),4020.0
10,Re(Z),4210.0
10,Re(Z),4400.0
10,Re(Z),4620.0
10,Re(Z),4830.0
10,Re(Z),5020.0
10,Re(Z),5260.0
10,Re(Z),5440.0
10,Re(Z),5640.0
10,Re(Z),5840.0
10,Re(Z),6070.0
10,Re(Z),6250.0
10,Re(Z),6470.0
10,Re(Z),6620.0
10,Re(Z),6850.0
10,Re(Z),7060.0
10,Re(Z),7310.0
10,Re(Z),7530.0
10,Re(Z),7770.0
10,Re(Z),8040.0
10,Re(Z),8260.0
10,Re(Z),8510.0
10,Re(Z),8740.0
10,Re(Z),9000.0
10,Re(Z),9330.0
10,Re(Z),9610.0
10,Re(Z),9860.0
10,Re(Z),10200.0
10,Re(Z),10400.0
10,Re(Z),10800.0
10,Re(Z),11200.0
10,Re(Z),11500.0
10,Re(Z),11800.0
10,Re(Z),12200.0
10,Re(Z),12500.0
10,Re(Z),12900.0
10,Re(Z),13300.0
10,Re(Z),13700.0
10,Re(Z),13900.0
10,Re(Z),14300.0
10,Re(Z),14600.0
10,Re(Z),15100.0
10,Re(Z),15400.0
10,Re(Z),15700.0
10,Re(Z),16100.0
10,Re(Z),16300.0
10,Re(Z),16600.0
10,Re(Z),16900.0
10,Re(Z),17300.0
10,Re(Z),17700.0
10,Re(Z),18100.0
10,Re(Z),18600.0
10,Re(Z),19100.0
10,Re(Z),19400.0
10,Re(Z),20200.0
10,Re(Z),20500.0
10,Re(Z),21500.0
10,Re(Z),22400.0
10,Re(Z),23300.0
10,Re(Z),24500.0
10,Re(Z),25900.0
10,Re(Z),27400.0
10,Re(Z),29000.0
10,Re(Z),30600.0
10,Re(Z),32700.0
10,Re(Z),34600.0
10,Re(Z),37600.0
10,Re(Z),40700.0
10,Re(Z),43100.0
10,Re(Z),47500.0
10,Re(Z),51000.0
10,Re(Z),55700.0
10,Re(Z),59800.0
10,Re(Z),65800.0
10,Re(Z),71600.0
10,Re(Z),77500.0
10,Re(Z),85500.0
10,Re(Z),94300.0
10,Re(Z),103000.0
10,Re(Z),112000.0
10,Re(Z),122000.0
10,Re(Z),134000.0
10,Re(Z),146000.0
10,Re(Z),160000.0
10,Re(Z),173000.0
10,Re(Z),186000.0
10,Re(Z),206000.0
10,Re(Z),225000.0
10,Re(Z),243000.0
10,Re(Z),261000.0
10,Re(Z),280000.0
10,Re(Z),301000.0
10,Re(Z),321000.0
10,Re(Z),347000.0
10,Re(Z),372000.0
10,Re(Z),391000.0
10,Re(Z),415000.0
10,Re(Z),441000.0
10,Re(Z),465000.0
10,Re(Z),491000.0
10,Re(Z),513000.0
10,Re(Z),536000.0
10,Re(Z),562000.0
10,Re(Z),580000.0
10,Re(Z),610000.0
10,Re(Z),629000.0
10,Re(Z),652000.0
10,Re(Z),671000.0
10,Re(Z),692000.0
10,Re(Z),712000.0
10,Re(Z),731000.0
10,Re(Z),751000.0
10,Re(Z),767000.0
10,Re(Z),785000.0
10,Re(Z),797000.0
10,Re(Z),815000.0
10,Re(Z),831000.0
10,Re(Z),845000.0
10,Re(Z),858000.0
10,Re(Z),867000.0
10,Re(Z),876000.0
10,Re(Z),887000.0
10,Re(Z),903000.0
10,Re(Z),914000.0
10,Re(Z),914000.0
10,Re(Z),915000.0
10,Re(Z),917000.0
10,Re(Z),998000.0
10,Re(Z),952000.0
10,Re(Z),960000.0
10,Re(Z),955000.0
10,Re(Z),958000.0
10,Re(Z),959000.0
10,Re(Z),975000.0
10,Re(Z),987000.0
10,Re(Z),980000.0
10,Re(Z),978000.0
10,Re(Z),975000.0
10,Re(Z),991000.0
10,Re(Z),1020000.0
10,Re(Z),1010000.0
10,Re(Z),1010000.0
10,Re(Z),998000.0
10,Re(Z),998000.0
10,Re(Z),1040000.0
10,Re(Z),1050000.0
10,Re(Z),1050000.0
10,Re(Z),1050000.0
10,Re(Z),1050000.0
10,Re(Z),1080000.0
10,Re(Z),1120000.0
10,Re(Z),1120000.0
10,Re(Z),1120000.0
10,Re(Z),1130000.0
10,Re(Z),1150000.0
10,Re(Z),1190000.0
10,Re(Z),1250000.0
10,Re(Z),1270000.0
10,Re(Z),1300000.0
10,Re(Z),1310000.0
10,Re(Z),1400000.0
10,Re(Z),1430000.0
10,Re(Z),1460000.0
10,Re(Z),1460000.0
10,Re(Z),1620000.0
10,Re(Z),1610000.0
10,Re(Z),1640000.0
10,Re(Z),1640000.0
10,Re(Z),1770000.0
10,Re(Z),1830000.0
10,Re(Z),1910000.0
10,Re(Z),1890000.0
10,Re(Z),2130000.0
10,Re(Z),2010000.0
10,Re(Z),2170000.0
10,Re(Z),2360000.0
10,Re(Z),2410000.0
10,Re(Z),2280000.0
10,Re(Z),2580000.0
10,Img(Z),4920.0
10,Img(Z),5030.0
10,Img(Z),5110.0
10,Img(Z),5250.0
10,Img(Z),5290.0
10,Img(Z),5450.0
10,Img(Z),5540.0
10,Img(Z),5710.0
10,Img(Z),5820.0
10,Img(Z),5960.0
10,Img(Z),6110.0
10,Img(Z),6250.0
10,Img(Z),6420.0
10,Img(Z),6560.0
10,Img(Z),6780.0
10,Img(Z),6960.0
10,Img(Z),7180.0
10,Img(Z),7390.0
10,Img(Z),7630.0
10,Img(Z),7840.0
10,Img(Z),8110.0
10,Img(Z),8320.0
10,Img(Z),8730.0
10,Img(Z),9040.0
10,Img(Z),9390.0
10,Img(Z),9670.0
10,Img(Z),10000.0
10,Img(Z),10400.0
10,Img(Z),10900.0
10,Img(Z),11300.0
10,Img(Z),11800.0
10,Img(Z),12300.0
10,Img(Z),12800.0
10,Img(Z),13200.0
10,Img(Z),13800.0
10,Img(Z),14400.0
10,Img(Z),15000.0
10,Img(Z),15700.0
10,Img(Z),16300.0
10,Img(Z),17100.0
10,Img(Z),17900.0
10,Img(Z),18700.0
10,Img(Z),19600.0
10,Img(Z),20700.0
10,Img(Z),21700.0
10,Img(Z),22700.0
10,Img(Z),24100.0
10,Img(Z),25500.0
10,Img(Z),26900.0
10,Img(Z),28400.0
10,Img(Z),30100.0
10,Img(Z),32000.0
10,Img(Z),34100.0
10,Img(Z),36400.0
10,Img(Z),39000.0
10,Img(Z),41600.0
10,Img(Z),44200.0
10,Img(Z),47200.0
10,Img(Z),50700.0
10,Img(Z),54200.0
10,Img(Z),58000.0
10,Img(Z),62200.0
10,Img(Z),66600.0
10,Img(Z),71400.0
10,Img(Z),76500.0
10,Img(Z),81000.0
10,Img(Z),86800.0
10,Img(Z),92700.0
10,Img(Z),99000.0
10,Img(Z),106000.0
10,Img(Z),113000.0
10,Img(Z),119000.0
10,Img(Z),128000.0
10,Img(Z),136000.0
10,Img(Z),144000.0
10,Img(Z),154000.0
10,Img(Z),163000.0
10,Img(Z),173000.0
10,Img(Z),182000.0
10,Img(Z),194000.0
10,Img(Z),204000.0
10,Img(Z),215000.0
10,Img(Z),224000.0
10,Img(Z),237000.0
10,Img(Z),248000.0
10,Img(Z),258000.0
10,Img(Z),272000.0
10,Img(Z),282000.0
10,Img(Z),293000.0
10,Img(Z),304000.0
10,Img(Z),314000.0
10,Img(Z),322000.0
10,Img(Z),334000.0
10,Img(Z),341000.0
10,Img(Z),348000.0
10,Img(Z),354000.0
10,Img(Z),360000.0
10,Img(Z),367000.0
10,Img(Z),372000.0
10,Img(Z),374000.0
10,Img(Z),374000.0
10,Img(Z),374000.0
10,Img(Z),376000.0
10,Img(Z),378000.0
10,Img(Z),375000.0
10,Img(Z),369000.0
10,Img(Z),360000.0
10,Img(Z),358000.0
10,Img(Z),361000.0
10,Img(Z),357000.0
10,Img(Z),346000.0
10,Img(Z),332000.0
10,Img(Z),324000.0
10,Img(Z),321000.0
10,Img(Z),324000.0
10,Img(Z),310000.0
10,Img(Z),300000.0
10,Img(Z),285000.0
10,Img(Z),280000.0
10,Img(Z),283000.0
10,Img(Z),277000.0
10,Img(Z),259000.0
10,Img(Z),254000.0
10,Img(Z),242000.0
10,Img(Z),249000.0
10,Img(Z),250000.0
10,Img(Z),244000.0
10,Img(Z),226000.0
10,Img(Z),218000.0
10,Img(Z),205000.0
10,Img(Z),221000.0
10,Img(Z),228000.0
10,Img(Z),221000.0
10,Img(Z),211000.0
10,Img(Z),212000.0
10,Img(Z),229000.0
10,Img(Z),238000.0
10,Img(Z),234000.0
10,Img(Z),236000.0
10,Img(Z),229000.0
10,Img(Z),243000.0
10,Img(Z),278000.0
10,Img(Z),284000.0
10,Img(Z),285000.0
10,Img(Z),294000.0
10,Img(Z),299000.0
10,Img(Z),342000.0
10,Img(Z),373000.0
10,Img(Z),391000.0
10,Img(Z),390000.0
10,Img(Z),402000.0
10,Img(Z),445000.0
10,Img(Z),496000.0
10,Img(Z),518000.0
10,Img(Z),515000.0
10,Img(Z),554000.0
10,Img(Z),578000.0
10,Img(Z),642000.0
10,Img(Z),701000.0
10,Img(Z),702000.0
10,Img(Z),727000.0
10,Img(Z),750000.0
10,Img(Z),815000.0
10,Img(Z),864000.0
10,Img(Z),882000.0
10,Img(Z),910000.0
10,Img(Z),932000.0
10,Img(Z),990000.0
10,Img(Z),982000.0
10,Img(Z),1040000.0
10,Img(Z),1150000.0
10,Img(Z),1100000.0
10,Img(Z),1130000.0
10,Img(Z),1180000.0
10,Img(Z),1270000.0
10,Img(Z),1160000.0
10,Img(Z),1400000.0
10,Img(Z),1220000.0
10,Img(Z),1330000.0
10,Img(Z),1230000.0
10,Img(Z),1290000.0
